('Alex Rogers', 'BARBARIAN', 'HALFLING', 15187, 20)
('Ana Willis', 'MONK', 'DWARF', 7792, 12)
('Tracie Bond', 'MONK', 'HALFLING', 6174, 19)
('Peggy Davis', 'ARTIFICER', 'HALFLING', 8537, 8)
('Travis Bentley', 'WIZARD', 'ELF', 11184, 18)
('Mr. Douglas Ross', 'FIGHTER', 'ELF', 18512, 12)
('Jodi Ortiz', 'PALADIN', 'DRAGONBORN', 4880, 19)
('Michelle Thornton', 'ARTIFICER', 'HALF_ELF', 10552, 3)
('Pamela Roy', 'PALADIN', 'HALF_ELF', 14687, 3)
('Jack Bowers', 'PALADIN', 'ELF', 3129, 12)
('Seth Morales', 'WARLOCK', 'HALF_ORC', 14029, 1)
('Seth Campbell', 'FIGHTER', 'HALF_ELF', 18095, 18)
('Stephen Hickman', 'FIGHTER', 'ELF', 19051, 11)
('Erika Gibson', 'WIZARD', 'DRAGONBORN', 17640, 3)
('Michael Taylor', 'CLERIC', 'HALFLING', 4783, 9)
('Sherry Potts', 'SORCERER', 'DRAGONBORN', 11444, 7)
('Rebecca Rodriguez', 'BARBARIAN', 'HALF_ELF', 15058, 13)
('Alyssa Smith', 'DRUID', 'DRAGONBORN', 9589, 13)
('Mr. Miguel Bennett', 'RANGER', 'ELF', 15778, 16)
('Joanne Curry', 'BARD', 'ELF', 13601, 15)
('Timothy Levine', 'WARLOCK', 'HALFLING', 12138, 19)
('Courtney Franklin', 'WARLOCK', 'HALF_ORC', 8464, 2)
('Jeremy Soto', 'BARBARIAN', 'ELF', 16835, 2)
('James Mccormick', 'ARTIFICER', 'HALFLING', 14739, 14)
('Lee Kaufman', 'CLERIC', 'HALFLING', 1440, 5)
('Tricia Smith', 'CLERIC', 'HUMAN', 18705, 11)
('Valerie Graves', 'WIZARD', 'GNOME', 1599, 2)
('Margaret Mckenzie', 'MONK', 'DRAGONBORN', 19984, 15)
('Candace Gill', 'SORCERER', 'HUMAN', 10626, 10)
('Aaron Jacobs', 'PALADIN', 'DWARF', 3829, 20)
('Reginald Lyons', 'ARTIFICER', 'HALFLING', 12034, 14)
('Jeremiah Gonzalez', 'SORCERER', 'HALFLING', 1681, 16)
('Joseph Lamb', 'BARD', 'HALF_ELF', 11180, 19)
('Becky Ward', 'PALADIN', 'ELF', 5598, 20)
('David Fleming', 'CLERIC', 'DWARF', 8586, 7)
('Maria Williams', 'FIGHTER', 'DWARF', 3443, 6)
('Cody Stevens', 'WIZARD', 'HALF_ORC', 1100, 19)
('Stephanie Blackburn', 'DRUID', 'TIEFLING', 12435, 17)
('Daryl Powell', 'BARD', 'HALF_ORC', 13098, 15)
('Matthew Gamble', 'BARD', 'HALF_ELF', 12267, 3)
('James Harris', 'FIGHTER', 'DWARF', 15841, 18)
('Crystal Melton', 'BARBARIAN', 'DWARF', 5479, 13)
('Patricia Mills', 'WIZARD', 'TIEFLING', 11794, 19)
('Roy Butler', 'ROGUE', 'HALF_ORC', 19588, 14)
('Richard Craig', 'DRUID', 'DRAGONBORN', 16655, 10)
('Chelsea Parker', 'ARTIFICER', 'DRAGONBORN', 18799, 2)
('Dustin Martinez', 'RANGER', 'DRAGONBORN', 17118, 4)
('Michelle Rivera', 'WIZARD', 'HUMAN', 8993, 17)
('Michael Bishop', 'BARD', 'DWARF', 12427, 17)
('Cody Malone', 'FIGHTER', 'TIEFLING', 19969, 1)
('Keith Nolan', 'RANGER', 'ELF', 16343, 9)
('Dana Woodard', 'SORCERER', 'ELF', 2124, 19)
('Tyler Greer', 'ROGUE', 'HALFLING', 11255, 8)
('Aaron Miller', 'DRUID', 'HALF_ORC', 7814, 6)
('Richard Perkins', 'PALADIN', 'HALFLING', 7994, 15)
('Rhonda Greene', 'ARTIFICER', 'HUMAN', 2728, 6)
('Destiny Cobb', 'WARLOCK', 'ELF', 10564, 13)
('Alicia Sanchez', 'ARTIFICER', 'HALF_ORC', 19683, 18)
('Wendy Hester MD', 'WIZARD', 'GNOME', 9837, 8)
('Laura Zimmerman', 'RANGER', 'HALF_ELF', 11427, 19)
('Emma Wagner', 'MONK', 'HALFLING', 12848, 4)
('Philip Singleton', 'ARTIFICER', 'HALF_ORC', 10393, 2)
('Katelyn Brown', 'PALADIN', 'HALF_ORC', 10910, 16)
('Paul Patterson', 'WIZARD', 'DRAGONBORN', 9388, 8)
('Rebecca Powell', 'PALADIN', 'HUMAN', 13717, 12)
('Jack Monroe', 'WIZARD', 'HALFLING', 2336, 2)
('Bobby Johnson', 'ROGUE', 'HUMAN', 19815, 10)
('Heather Booth', 'FIGHTER', 'DRAGONBORN', 3511, 5)
('Dawn King', 'CLERIC', 'ELF', 13402, 7)
('Michelle Brown', 'WARLOCK', 'TIEFLING', 10, 9)
('Kimberly Stone', 'ARTIFICER', 'GNOME', 14374, 5)
('William Miller', 'WIZARD', 'TIEFLING', 13628, 2)
('Michael Moreno', 'BARBARIAN', 'HALF_ELF', 12182, 9)
('Robin Mccall', 'SORCERER', 'TIEFLING', 10536, 14)
('Carrie Short', 'FIGHTER', 'HALF_ORC', 19062, 15)
('Angel Soto', 'SORCERER', 'GNOME', 11759, 1)
('Nicole Bates', 'CLERIC', 'HALF_ORC', 5913, 6)
('Travis Franco', 'SORCERER', 'HUMAN', 10061, 19)
('Jeremiah Hester', 'BARD', 'DRAGONBORN', 5916, 18)
('Amy Taylor', 'DRUID', 'DRAGONBORN', 1681, 4)
('Tina Jensen', 'SORCERER', 'TIEFLING', 2326, 20)
('Philip Flynn', 'SORCERER', 'TIEFLING', 13403, 2)
('Patricia Peterson', 'RANGER', 'DWARF', 1224, 7)
('Hannah Harris', 'CLERIC', 'ELF', 5918, 2)
('Amy Jones', 'DRUID', 'GNOME', 15624, 6)
('William Lewis', 'WIZARD', 'TIEFLING', 3064, 19)
('Adam Ross', 'PALADIN', 'DWARF', 10793, 5)
('Heather Lee', 'ROGUE', 'DRAGONBORN', 438, 8)
('Leslie Garcia', 'BARD', 'ELF', 6231, 6)
('Audrey King', 'ROGUE', 'ELF', 597, 18)
('Juan Heath', 'DRUID', 'DRAGONBORN', 2646, 17)
('Wayne Guerra', 'WIZARD', 'HALF_ELF', 7958, 20)
('Rachel Mcclure', 'CLERIC', 'DWARF', 11773, 3)
('Briana Glass', 'RANGER', 'HUMAN', 5467, 6)
('Frank Holloway', 'MONK', 'ELF', 19492, 9)
('Frank Vasquez', 'MONK', 'GNOME', 18784, 1)
('Tiffany Williams', 'BARD', 'TIEFLING', 3261, 13)
('Meagan Bennett', 'ARTIFICER', 'ELF', 11168, 14)
('Justin Horton', 'ARTIFICER', 'DWARF', 2073, 20)
('Mr. Daniel Curtis', 'ROGUE', 'HUMAN', 4942, 10)
('Andrew Williamson', 'MONK', 'ELF', 16422, 20)
('Richard King', 'BARBARIAN', 'HALFLING', 3872, 9)
('Ryan Williams', 'FIGHTER', 'GNOME', 1871, 20)
('Albert Davis', 'CLERIC', 'DRAGONBORN', 16905, 17)
('Frank Murray', 'WIZARD', 'HALF_ORC', 16805, 12)
('Catherine Frazier', 'MONK', 'GNOME', 10466, 14)
('Teresa Woods', 'FIGHTER', 'GNOME', 18669, 7)
('Benjamin West', 'PALADIN', 'DRAGONBORN', 18685, 13)
('Dr. Cassidy Allen', 'ROGUE', 'ELF', 10972, 13)
('Brian Rush', 'MONK', 'HALF_ELF', 6507, 15)
('Andrew Harrison', 'RANGER', 'HALF_ELF', 12184, 18)
('Diane Silva', 'ARTIFICER', 'DRAGONBORN', 8849, 12)
('Deanna Bryan', 'ROGUE', 'DRAGONBORN', 3803, 12)
('Clinton Williams', 'PALADIN', 'DWARF', 5286, 15)
('James White', 'BARD', 'TIEFLING', 11855, 16)
('Adam Dillon', 'FIGHTER', 'ELF', 12885, 10)
('Sarah Moran', 'SORCERER', 'ELF', 4498, 11)
('Mitchell Novak', 'FIGHTER', 'HALF_ORC', 6580, 5)
('Jessica Johnson', 'WARLOCK', 'HALF_ORC', 15681, 15)
('Alyssa Lyons', 'BARBARIAN', 'HALF_ELF', 11994, 6)
('Misty Hubbard', 'CLERIC', 'TIEFLING', 5545, 12)
('Terry Morris', 'FIGHTER', 'HALF_ELF', 2978, 7)
('Ryan Leonard', 'BARD', 'HALF_ORC', 19772, 7)
('Amber Juarez', 'RANGER', 'DRAGONBORN', 4596, 14)
('Nicholas Lawrence', 'FIGHTER', 'GNOME', 17433, 6)
('Jacqueline Thomas', 'MONK', 'GNOME', 19034, 4)
('Samantha Cook', 'CLERIC', 'HUMAN', 16550, 15)
('Vanessa Paul', 'ROGUE', 'HALF_ELF', 5274, 15)
('Jeffrey Williams', 'MONK', 'HUMAN', 19359, 12)
('Charles Smith', 'WARLOCK', 'GNOME', 8879, 4)
('Thomas Harris', 'CLERIC', 'TIEFLING', 19906, 20)
('David Lewis', 'WARLOCK', 'HALF_ELF', 6198, 8)
('Robert Garcia', 'FIGHTER', 'ELF', 15442, 14)
('Robert Cervantes', 'ROGUE', 'ELF', 5506, 17)
('Anthony Williams', 'WARLOCK', 'HALF_ORC', 17784, 11)
('Scott Harris', 'DRUID', 'DRAGONBORN', 15258, 20)
('Destiny Williams', 'ARTIFICER', 'DWARF', 11972, 12)
('Penny Osborne', 'BARD', 'HALFLING', 16249, 20)
('David Ortiz', 'BARBARIAN', 'DWARF', 14167, 12)
('James Butler', 'BARD', 'HALFLING', 10452, 7)
('Jeremy Vega', 'PALADIN', 'TIEFLING', 4800, 7)
('Jacob Stone', 'DRUID', 'HALF_ORC', 12480, 19)
('Kristen Holland', 'PALADIN', 'ELF', 16575, 19)
('Michelle Evans', 'WARLOCK', 'HALF_ELF', 5757, 8)
('Cheryl Wood', 'FIGHTER', 'TIEFLING', 8136, 1)
('Laura Gomez', 'CLERIC', 'HUMAN', 15685, 2)
('Jennifer Chen', 'RANGER', 'DRAGONBORN', 3613, 13)
('Melissa Lee', 'WARLOCK', 'HALF_ELF', 5832, 1)
('Amanda Hartman', 'CLERIC', 'TIEFLING', 13192, 11)
('Angela Carrillo', 'ARTIFICER', 'HALFLING', 16603, 16)
('Deanna Smith', 'WIZARD', 'HALFLING', 10812, 13)
('Tina Miller', 'FIGHTER', 'ELF', 8452, 14)
('Danny Russo', 'CLERIC', 'HALF_ELF', 15733, 5)
('Audrey White', 'MONK', 'DRAGONBORN', 5922, 5)
('Heather Rios', 'ARTIFICER', 'HALFLING', 17024, 1)
('Karina Lopez', 'BARBARIAN', 'GNOME', 6209, 3)
('Brian Carey', 'PALADIN', 'HALF_ELF', 2125, 19)
('Christopher Harrell', 'ARTIFICER', 'DRAGONBORN', 2318, 11)
('Anthony Lane', 'RANGER', 'HALFLING', 2668, 1)
('Edward Wilson', 'FIGHTER', 'ELF', 12088, 1)
('Miranda Park', 'DRUID', 'HALF_ELF', 1668, 18)
('Michelle Anderson', 'WIZARD', 'GNOME', 16559, 20)
('Vicki Carter', 'DRUID', 'TIEFLING', 16457, 9)
('Victor Solis', 'SORCERER', 'GNOME', 18525, 5)
('Angela Moore', 'ARTIFICER', 'HALF_ORC', 15551, 4)
('Robert Jackson', 'MONK', 'HALF_ELF', 15965, 4)
('Theresa Richards', 'ROGUE', 'ELF', 19338, 4)
('John Rice', 'BARBARIAN', 'DWARF', 2751, 6)
('Lori Soto', 'BARD', 'DWARF', 19671, 11)
('Diane Hall', 'BARBARIAN', 'HALFLING', 10227, 4)
('David Hood', 'RANGER', 'HALF_ORC', 17108, 1)
('Craig Solis', 'DRUID', 'ELF', 10615, 5)
('Katherine Lin', 'BARD', 'ELF', 1782, 19)
('Ashley Guerrero', 'ARTIFICER', 'ELF', 13676, 8)
('Scott Bridges', 'ROGUE', 'ELF', 18087, 8)
('Susan Hernandez', 'WARLOCK', 'DRAGONBORN', 4632, 13)
('Destiny Holland', 'WIZARD', 'DWARF', 12185, 16)
('Jerry Morris', 'SORCERER', 'DWARF', 12960, 2)
('Robert Medina', 'BARD', 'HALFLING', 12814, 18)
('Ashley Hernandez', 'MONK', 'HUMAN', 4760, 7)
('Jennifer Robbins', 'CLERIC', 'DRAGONBORN', 8553, 19)
('Haley Young', 'DRUID', 'HALF_ORC', 3162, 1)
('Amanda Murphy', 'MONK', 'DWARF', 17782, 5)
('Zachary Lee', 'ARTIFICER', 'GNOME', 14179, 13)
('Danny Taylor', 'MONK', 'HALF_ELF', 14250, 3)
('Stephen Walker', 'PALADIN', 'HALFLING', 18840, 12)
('Destiny Sanchez', 'FIGHTER', 'DRAGONBORN', 1892, 2)
('Chelsea Leon', 'PALADIN', 'DRAGONBORN', 13768, 9)
('Joan Nguyen', 'BARD', 'HALFLING', 15243, 5)
('Joel Jones', 'RANGER', 'TIEFLING', 11845, 12)
('Alejandra Hopkins DVM', 'ROGUE', 'DRAGONBORN', 4981, 18)
('Jasmine Johnson', 'WARLOCK', 'ELF', 3258, 11)
('Carla Edwards', 'DRUID', 'TIEFLING', 10675, 19)
('Roy Sutton', 'PALADIN', 'HUMAN', 15771, 18)
('Jennifer Brown', 'DRUID', 'DRAGONBORN', 19509, 20)
('Jeremy Duncan', 'CLERIC', 'DRAGONBORN', 12624, 7)
('James Frazier', 'WIZARD', 'ELF', 14570, 10)
('James Bryan', 'PALADIN', 'HALFLING', 8653, 20)
('Debra Ellison', 'ARTIFICER', 'HALFLING', 12033, 8)
('Scott Pruitt', 'MONK', 'ELF', 5266, 2)
('Adam Nelson', 'WIZARD', 'HALFLING', 16395, 4)
('Brian Smith', 'ROGUE', 'HALFLING', 17006, 6)
('Margaret Hughes', 'PALADIN', 'GNOME', 11443, 6)
('Robert Johnson', 'MONK', 'HALF_ELF', 175, 4)
('Jose Preston', 'ARTIFICER', 'ELF', 19435, 1)
('Mary Ray', 'BARBARIAN', 'HALF_ELF', 7001, 16)
('Molly Wilkins', 'DRUID', 'HALF_ORC', 12810, 15)
('Cassandra Robertson', 'DRUID', 'ELF', 12436, 7)
('James Chavez', 'ROGUE', 'HALFLING', 13603, 13)
('William Donovan', 'WIZARD', 'DRAGONBORN', 4260, 11)
('Zachary Todd', 'PALADIN', 'DWARF', 14239, 7)
('James Spencer', 'MONK', 'ELF', 6082, 13)
('Jillian Walker', 'BARBARIAN', 'GNOME', 11006, 10)
('Mrs. Wanda Saunders', 'CLERIC', 'DRAGONBORN', 6435, 7)
('Alexander Brown', 'MONK', 'HALF_ELF', 19595, 10)
('Stephanie Rice', 'BARD', 'HALF_ORC', 19538, 2)
('Samantha Young', 'BARD', 'GNOME', 807, 14)
('Mark Peterson', 'BARBARIAN', 'ELF', 5043, 7)
('Kayla Scott', 'PALADIN', 'DRAGONBORN', 2887, 11)
('Laura Andrade DDS', 'MONK', 'HALF_ORC', 7537, 3)
('Melissa Sherman', 'ROGUE', 'HALFLING', 15882, 18)
('Holly Harrison', 'ROGUE', 'HALF_ORC', 8633, 10)
('Benjamin Hebert', 'DRUID', 'DRAGONBORN', 1577, 13)
('Angel Sims', 'SORCERER', 'TIEFLING', 5789, 19)
('Miguel Willis', 'WIZARD', 'TIEFLING', 17426, 1)
('Dale Love', 'DRUID', 'HALF_ELF', 13058, 5)
('Timothy Hughes', 'BARBARIAN', 'DRAGONBORN', 17034, 11)
('Victoria Garner', 'WARLOCK', 'DWARF', 4592, 10)
('Mr. William Gregory', 'DRUID', 'HALF_ELF', 3111, 8)
('Trevor Garrett MD', 'ARTIFICER', 'HALFLING', 5168, 17)
('Brittany Lopez', 'BARD', 'HALF_ELF', 12289, 8)
('Amanda Thompson', 'ROGUE', 'HALF_ELF', 14395, 18)
('Nicole Beard', 'CLERIC', 'HALF_ORC', 10201, 1)
('Renee Williams', 'SORCERER', 'HALFLING', 17993, 7)
('Amy Wilcox', 'WARLOCK', 'HALFLING', 6389, 1)
('Megan Wood', 'PALADIN', 'DRAGONBORN', 1680, 14)
('Evelyn Baker', 'ROGUE', 'HUMAN', 6759, 8)
('Douglas Montoya', 'MONK', 'DWARF', 2565, 11)
('Holly Daniels', 'ROGUE', 'HALFLING', 5594, 18)
('Shawn Weaver', 'RANGER', 'ELF', 19213, 4)
('Leonard Watkins', 'ROGUE', 'DRAGONBORN', 19723, 10)
('Melissa Smith', 'BARBARIAN', 'DWARF', 7352, 11)
('Benjamin Myers', 'ROGUE', 'HALF_ORC', 6982, 8)
('Brandon Woods', 'CLERIC', 'DRAGONBORN', 7369, 10)
('Jennifer Brown', 'ROGUE', 'HUMAN', 1744, 4)
('David Bray', 'RANGER', 'DWARF', 6714, 3)
('Tamara Lane', 'WARLOCK', 'DRAGONBORN', 2596, 19)
('Kelly King', 'ROGUE', 'HUMAN', 9272, 10)
('Tammy Hendrix', 'WARLOCK', 'DWARF', 1201, 6)
('Charles Mack', 'PALADIN', 'HALFLING', 4247, 9)
('Jacob Ruiz', 'MONK', 'DRAGONBORN', 15211, 5)
('Daniel Harper', 'ROGUE', 'DRAGONBORN', 11574, 17)
