('Michael Hall', 'FIGHTER', 'HALF_ELF', 17915, 7)
('Ms. Kathryn Callahan MD', 'RANGER', 'DRAGONBORN', 6893, 12)
('Lori Ward', 'MONK', 'GNOME', 17132, 18)
('Kyle Harper', 'PALADIN', 'HALF_ELF', 13204, 1)
('Brian Cline', 'RANGER', 'HUMAN', 4672, 15)
('Erika Miller', 'SORCERER', 'HALFLING', 3567, 12)
('Gordon Hoover', 'FIGHTER', 'TIEFLING', 10887, 18)
('Douglas Hodge', 'FIGHTER', 'TIEFLING', 6081, 13)
('Lisa Cooper', 'DRUID', 'TIEFLING', 7776, 13)
('Paul Riggs', 'MONK', 'DWARF', 18811, 20)
('Brittney Miller', 'BARBARIAN', 'HALF_ELF', 19844, 6)
('Elizabeth Sosa', 'BARD', 'TIEFLING', 5338, 19)
('Adrienne Huerta', 'ARTIFICER', 'HALFLING', 1924, 7)
('James Duke', 'WARLOCK', 'DRAGONBORN', 1212, 17)
('Zachary Barker', 'BARBARIAN', 'HALF_ELF', 17480, 8)
('Dr. Jane Hancock', 'ARTIFICER', 'ELF', 18530, 5)
('Lauren Sparks', 'CLERIC', 'HALF_ELF', 8785, 3)
('Jill Moyer MD', 'ROGUE', 'HUMAN', 9787, 15)
('Kevin Bentley', 'CLERIC', 'GNOME', 12299, 3)
('Michael Bates', 'CLERIC', 'GNOME', 16762, 17)
('Sarah Rios MD', 'ARTIFICER', 'DWARF', 16948, 11)
('Billy Baker', 'WARLOCK', 'DWARF', 2591, 15)
('Robert Clayton', 'PALADIN', 'HALF_ELF', 3357, 14)
('George Robinson', 'PALADIN', 'DRAGONBORN', 12394, 19)
('Mary Rodriguez', 'FIGHTER', 'HALF_ELF', 16040, 14)
('Keith Ruiz', 'FIGHTER', 'DRAGONBORN', 11907, 9)
('Catherine Robinson', 'DRUID', 'DWARF', 5378, 16)
('Becky West', 'DRUID', 'HALF_ELF', 7907, 1)
('Jesse Dixon', 'CLERIC', 'HALFLING', 16063, 19)
('Dylan Hanna', 'RANGER', 'HUMAN', 11290, 7)
('Brian French', 'DRUID', 'HALFLING', 2769, 2)
('Joshua Rogers', 'PALADIN', 'ELF', 11697, 14)
('Cody Black', 'CLERIC', 'HALF_ORC', 14360, 16)
('Judith Holmes', 'ROGUE', 'HALF_ELF', 15624, 4)
('Stacey Barber', 'BARBARIAN', 'DWARF', 19626, 18)
('James Bean', 'ROGUE', 'HALFLING', 13329, 7)
('Gary Lawson', 'DRUID', 'DRAGONBORN', 10426, 16)
('Matthew Townsend', 'BARD', 'HALF_ELF', 17556, 17)
('Diane Mcneil', 'RANGER', 'HALFLING', 865, 10)
('Thomas Tran', 'CLERIC', 'HALF_ORC', 11397, 8)
('Michael Lowe', 'WIZARD', 'HALF_ELF', 11693, 7)
('James Henderson', 'ARTIFICER', 'HALF_ELF', 9780, 10)
('Jennifer Nunez', 'CLERIC', 'GNOME', 11282, 3)
('Cody Brown', 'BARD', 'GNOME', 19636, 18)
('Shelly Reyes', 'ARTIFICER', 'DWARF', 5544, 4)
('Amanda Cain', 'WARLOCK', 'GNOME', 15993, 19)
('Michael Reed', 'PALADIN', 'ELF', 9843, 2)
('Christopher Roy', 'MONK', 'TIEFLING', 18479, 7)
('Dalton Gilbert MD', 'BARBARIAN', 'HUMAN', 13351, 7)
('Katherine Cross', 'ARTIFICER', 'DRAGONBORN', 3594, 18)
('Katie Farmer', 'MONK', 'TIEFLING', 11613, 12)
('Alexis Burch', 'ARTIFICER', 'HUMAN', 2418, 13)
('Dana Wagner DDS', 'PALADIN', 'HALFLING', 1992, 13)
('Christopher Edwards', 'WIZARD', 'HALF_ELF', 19857, 8)
('Thomas Rodriguez', 'SORCERER', 'GNOME', 11008, 14)
('Gabriela Reed', 'ROGUE', 'GNOME', 14535, 13)
('Jeffrey Clark', 'PALADIN', 'TIEFLING', 12491, 6)
('Ryan Lopez', 'RANGER', 'GNOME', 2907, 8)
('David Jackson', 'RANGER', 'DWARF', 19167, 9)
('Christopher Rocha', 'PALADIN', 'DWARF', 16690, 14)
('Dominique Gilbert', 'DRUID', 'HALF_ORC', 11759, 14)
('Meghan Bauer', 'SORCERER', 'TIEFLING', 19723, 15)
('Krystal Allison', 'DRUID', 'HALFLING', 16362, 10)
('Sara Bell', 'CLERIC', 'TIEFLING', 11292, 13)
('Lori Barron MD', 'ROGUE', 'ELF', 15137, 18)
('Scott Clark', 'MONK', 'ELF', 12676, 4)
('Jason Walker', 'RANGER', 'ELF', 1813, 3)
('Jason French', 'DRUID', 'HALF_ELF', 15964, 12)
('Courtney Berry', 'PALADIN', 'DWARF', 10782, 20)
('Patricia Harris DDS', 'MONK', 'HALFLING', 16280, 1)
('Andrew Morrison', 'FIGHTER', 'GNOME', 7377, 8)
('Donna Hayden', 'DRUID', 'ELF', 14504, 9)
('Thomas Williams', 'DRUID', 'GNOME', 6151, 15)
('Kenneth Montgomery', 'SORCERER', 'DRAGONBORN', 10095, 17)
('Miss Stephanie', 'PALADIN', 'TIEFLING', 6091, 11)
('Margaret Proctor', 'MONK', 'HALFLING', 19055, 1)
('Lisa Turner', 'RANGER', 'HALFLING', 15987, 1)
('Linda Marshall', 'PALADIN', 'DWARF', 3180, 18)
('Chad Williams', 'BARD', 'HALF_ORC', 17311, 5)
('Jeffrey Hill', 'WIZARD', 'DWARF', 18453, 13)
('Timothy Sanders', 'MONK', 'DWARF', 9092, 4)
('Christopher Odom', 'WARLOCK', 'HUMAN', 5259, 14)
('Zachary Chandler', 'PALADIN', 'TIEFLING', 12150, 17)
('Teresa Lawrence', 'FIGHTER', 'GNOME', 6371, 4)
('Patricia Morales', 'BARBARIAN', 'ELF', 4851, 20)
('Ryan Dunn', 'PALADIN', 'GNOME', 8137, 1)
('Jennifer Hawkins', 'DRUID', 'ELF', 14258, 6)
('Joseph Diaz', 'ROGUE', 'HALF_ORC', 18241, 12)
('Lisa Avila', 'CLERIC', 'HALF_ELF', 8322, 3)
('Micheal Erickson', 'ROGUE', 'HALFLING', 6768, 18)
('Nathan Franklin', 'PALADIN', 'HALF_ELF', 18629, 18)
('Katherine Johnston', 'BARD', 'DRAGONBORN', 11619, 17)
('Dustin Clarke', 'CLERIC', 'HALFLING', 19113, 6)
('Jose Acevedo', 'CLERIC', 'HALF_ORC', 5968, 5)
('Dana Holloway MD', 'WIZARD', 'HALFLING', 9366, 4)
('Linda Garza', 'DRUID', 'HALF_ORC', 2840, 1)
('Jose Brown', 'ROGUE', 'DWARF', 17030, 6)
('Karen Welch', 'DRUID', 'ELF', 11969, 9)
('Karl Aguilar', 'WIZARD', 'HALFLING', 7244, 10)
('Dana Fletcher', 'DRUID', 'HALFLING', 9108, 17)
('Lori Strickland', 'ROGUE', 'GNOME', 18621, 1)
('John Wilcox', 'FIGHTER', 'TIEFLING', 1697, 11)
('Katherine Tanner', 'BARD', 'ELF', 18331, 12)
('Harold Nolan', 'DRUID', 'DWARF', 9558, 11)
('Lisa Thornton', 'ROGUE', 'TIEFLING', 4480, 2)
('Elizabeth Chapman', 'MONK', 'DWARF', 16730, 12)
('Kayla Gardner', 'WIZARD', 'DRAGONBORN', 13844, 2)
('Morgan Ramirez', 'FIGHTER', 'ELF', 6009, 10)
('Douglas Ramirez', 'SORCERER', 'DRAGONBORN', 6054, 9)
('Andrea Hernandez', 'RANGER', 'HALF_ORC', 9552, 15)
('Corey Baldwin', 'CLERIC', 'GNOME', 19109, 13)
('Amy Reed', 'WIZARD', 'HALFLING', 16105, 19)
('Lawrence Walker', 'ARTIFICER', 'DWARF', 8630, 6)
('Keith Roberts', 'RANGER', 'HALFLING', 16099, 10)
('Kaitlyn Harris', 'WARLOCK', 'HUMAN', 17007, 4)
('Richard Welch', 'DRUID', 'HUMAN', 5047, 19)
('Julie Taylor', 'BARBARIAN', 'HALFLING', 10244, 12)
('Mrs. Michelle Wagner MD', 'CLERIC', 'DWARF', 885, 12)
('Katie Jacobs', 'FIGHTER', 'HALF_ORC', 11128, 8)
('Jennifer Martinez', 'WIZARD', 'HALF_ORC', 5196, 9)
('Jacob Barber', 'MONK', 'HALF_ELF', 3291, 3)
('Jacob Martinez', 'BARD', 'HALFLING', 13490, 12)
('Jeremy Lopez', 'SORCERER', 'HUMAN', 558, 1)
('Rebecca Mathis', 'ROGUE', 'GNOME', 926, 8)
('Toni Berry', 'BARBARIAN', 'HALFLING', 18582, 14)
('Loretta Hodge', 'MONK', 'DWARF', 9451, 13)
('Jeffery Dunn', 'PALADIN', 'TIEFLING', 8583, 20)
('Jeffery Bautista', 'PALADIN', 'TIEFLING', 235, 19)
('Jeffrey Coleman', 'ARTIFICER', 'DWARF', 934, 5)
('Danny Young', 'CLERIC', 'HALF_ORC', 2810, 17)
('Barbara Cain', 'CLERIC', 'HALFLING', 11114, 11)
('Ashley Baker', 'WARLOCK', 'HUMAN', 3612, 9)
('Amy Jordan', 'BARD', 'TIEFLING', 5963, 1)
('David Lane', 'WIZARD', 'HALF_ORC', 5087, 18)
('Thomas Gardner', 'DRUID', 'DWARF', 10982, 6)
('Dean Bishop', 'ROGUE', 'ELF', 2610, 15)
('Emily Myers', 'RANGER', 'HALF_ORC', 3300, 18)
('Jeffrey Holland', 'DRUID', 'TIEFLING', 4576, 13)
('Nicholas Hall', 'CLERIC', 'HUMAN', 10744, 9)
('Martha Hill MD', 'ROGUE', 'TIEFLING', 15160, 1)
('Mary Anderson', 'ROGUE', 'DWARF', 11771, 9)
('Daniel Turner', 'FIGHTER', 'HALF_ELF', 8883, 14)
('Cynthia Cole MD', 'BARBARIAN', 'DWARF', 3820, 7)
('Steve Quinn', 'DRUID', 'TIEFLING', 10668, 12)
('Bianca Garcia', 'BARBARIAN', 'DWARF', 15936, 10)
('Casey Smith', 'FIGHTER', 'HUMAN', 5635, 11)
('Brian Chapman', 'DRUID', 'HALFLING', 4197, 18)
('Eric Fuller', 'BARBARIAN', 'ELF', 18251, 2)
('Sandra Peterson', 'FIGHTER', 'HUMAN', 15796, 2)
('Roy Anderson', 'ROGUE', 'GNOME', 7433, 8)
('William Martin', 'BARD', 'HALF_ELF', 7636, 6)
('Jessica Ross', 'FIGHTER', 'TIEFLING', 16911, 3)
('Jonathan Cortez MD', 'ARTIFICER', 'GNOME', 10198, 9)
('Dean Jackson', 'WIZARD', 'ELF', 4730, 11)
('Adam Johnson', 'SORCERER', 'HALFLING', 5489, 5)
('Karen Ali', 'MONK', 'HALF_ORC', 12924, 18)
('Joshua Thomas', 'FIGHTER', 'DRAGONBORN', 17, 15)
('Julie Banks', 'MONK', 'HALF_ORC', 4229, 11)
('Julie Norman', 'WIZARD', 'DWARF', 18501, 10)
('Cynthia George', 'BARBARIAN', 'ELF', 18484, 6)
('Catherine Lopez', 'BARD', 'DRAGONBORN', 15224, 10)
('Michele Craig', 'DRUID', 'TIEFLING', 3310, 14)
('Kendra Williams MD', 'WIZARD', 'DWARF', 13516, 18)
('Elizabeth Anderson', 'WARLOCK', 'HALF_ORC', 5467, 18)
('Jennifer Garcia', 'PALADIN', 'ELF', 4985, 16)
('Clayton Russell', 'WARLOCK', 'HUMAN', 829, 7)
('Amanda Gregory', 'MONK', 'TIEFLING', 10, 5)
('Miranda Hayes', 'BARD', 'HALF_ELF', 802, 1)
('Jennifer Evans', 'BARBARIAN', 'HUMAN', 6577, 1)
('Christina Williams', 'ARTIFICER', 'HALFLING', 10152, 15)
('Jonathan Willis', 'FIGHTER', 'HALF_ORC', 1314, 4)
('Jessica Mann', 'BARD', 'DRAGONBORN', 4716, 5)
('David Holt', 'SORCERER', 'GNOME', 14962, 1)
('Daniel Riley', 'DRUID', 'HALF_ORC', 9833, 1)
('Jill Williams', 'ROGUE', 'HALFLING', 7306, 14)
('Dawn Davidson', 'MONK', 'HALF_ORC', 11008, 17)
('Mary Ward', 'RANGER', 'HALF_ELF', 13925, 16)
('Antonio Burton', 'PALADIN', 'GNOME', 16511, 5)
('Dr. Ricky Tyler', 'FIGHTER', 'HALF_ORC', 7954, 1)
('Stephanie Gray', 'BARBARIAN', 'DRAGONBORN', 3197, 3)
('Jonathan Chavez', 'DRUID', 'DWARF', 8720, 13)
('Jesse Walters', 'ROGUE', 'DRAGONBORN', 17766, 11)
('Stephen Griffith', 'ROGUE', 'GNOME', 1110, 6)
('Debra Gonzalez', 'SORCERER', 'HALF_ELF', 5596, 13)
('Cindy Peters', 'BARD', 'DWARF', 14042, 9)
('Michael Blake', 'CLERIC', 'ELF', 2376, 12)
('Vicki Clark', 'BARD', 'DWARF', 10066, 2)
('Alyssa Kelly', 'RANGER', 'HALFLING', 4867, 10)
('Ryan Arroyo', 'WARLOCK', 'HALFLING', 5957, 9)
('Brian Tran', 'WIZARD', 'TIEFLING', 4027, 3)
('Luke Rivera', 'DRUID', 'HUMAN', 5507, 8)
('Lisa Becker', 'PALADIN', 'DWARF', 8810, 7)
('Michael Lara', 'ARTIFICER', 'DWARF', 15458, 4)
('Melissa Cortez', 'RANGER', 'DRAGONBORN', 14466, 19)
('Mrs. Amanda Martin', 'FIGHTER', 'HUMAN', 6076, 4)
('Debra Sweeney', 'CLERIC', 'HALF_ELF', 3491, 18)
('Katherine Adams', 'WARLOCK', 'DRAGONBORN', 9896, 16)
('Miss Christie Morales', 'PALADIN', 'GNOME', 1042, 5)
('Larry Levy', 'ARTIFICER', 'DWARF', 18789, 13)
('David Duarte', 'FIGHTER', 'DWARF', 12138, 19)
('Donald Mosley', 'WARLOCK', 'HALFLING', 19359, 11)
('Loretta Williamson', 'ARTIFICER', 'HUMAN', 5971, 11)
('Michael Kim', 'BARD', 'DRAGONBORN', 14552, 6)
('Ashley Wilkins', 'BARD', 'GNOME', 8540, 19)
('Robert Kaiser', 'CLERIC', 'HALFLING', 6868, 7)
('Andrew Moon', 'RANGER', 'HUMAN', 2162, 10)
('Alyssa Vargas', 'MONK', 'DWARF', 11430, 12)
('Raymond Lopez', 'CLERIC', 'HALF_ELF', 19483, 13)
('Chloe Adkins', 'BARBARIAN', 'GNOME', 17062, 16)
('Adrienne Ramirez', 'MONK', 'DRAGONBORN', 11165, 6)
('Christopher Hopkins', 'CLERIC', 'HUMAN', 1575, 12)
('Lindsey Holmes', 'RANGER', 'GNOME', 3330, 6)
('Melanie Estrada PhD', 'BARD', 'HALF_ELF', 18506, 15)
('Jose Fisher', 'BARBARIAN', 'DWARF', 4523, 5)
('Teresa Johnson', 'CLERIC', 'GNOME', 16498, 9)
('Teresa Meza', 'ARTIFICER', 'HALF_ELF', 19936, 3)
('Ashley West', 'ARTIFICER', 'HALF_ORC', 16999, 19)
('Carolyn Stevens', 'BARBARIAN', 'TIEFLING', 11735, 5)
('Alex Barnes', 'CLERIC', 'ELF', 2187, 2)
('Jordan Hamilton', 'SORCERER', 'DWARF', 3738, 20)
('Trevor Andrews', 'SORCERER', 'HALF_ELF', 10190, 18)
('Casey Wade', 'WARLOCK', 'DWARF', 745, 6)
('Nathaniel Mckenzie PhD', 'DRUID', 'GNOME', 6783, 5)
('Erica Heath', 'WIZARD', 'HUMAN', 11851, 15)
('Kevin Fernandez', 'BARBARIAN', 'ELF', 11010, 20)
('Derrick Drake', 'PALADIN', 'HUMAN', 12026, 5)
('Michael Crawford', 'DRUID', 'DRAGONBORN', 14796, 5)
('Zachary Mills', 'DRUID', 'TIEFLING', 12686, 18)
('Arthur Gallegos', 'FIGHTER', 'TIEFLING', 18678, 17)
('Shannon Mendez', 'PALADIN', 'HALF_ORC', 16622, 4)
('Angela Mcintosh', 'MONK', 'TIEFLING', 16985, 1)
('James Stafford', 'SORCERER', 'DWARF', 15405, 9)
('Janice Singh', 'BARD', 'GNOME', 5914, 7)
('Brandon Gonzales', 'DRUID', 'HALF_ELF', 12844, 5)
('Alexandria Adkins', 'RANGER', 'GNOME', 1741, 10)
('Christopher Savage', 'DRUID', 'HALF_ELF', 16193, 5)
('Melissa Hill', 'ARTIFICER', 'HALF_ORC', 7238, 8)
('Patrick Werner', 'DRUID', 'ELF', 9563, 16)
('Danny Campbell', 'ARTIFICER', 'TIEFLING', 8633, 20)
('Brandon Hudson', 'ARTIFICER', 'HALFLING', 2871, 12)
('Larry Murphy', 'WARLOCK', 'GNOME', 11076, 17)
('Brandon Tran', 'FIGHTER', 'HALF_ORC', 9605, 3)
('Tiffany Joseph', 'DRUID', 'TIEFLING', 19774, 6)
('Robin Huynh', 'MONK', 'HALF_ELF', 11722, 14)
('Andrew Ayers', 'DRUID', 'GNOME', 13766, 4)
('Joshua Spencer', 'RANGER', 'ELF', 7317, 19)
('Heather Turner', 'CLERIC', 'HALFLING', 3581, 17)
('Samantha Mcclain', 'FIGHTER', 'HUMAN', 13285, 6)
('Mike Jennings', 'WARLOCK', 'HALF_ELF', 17738, 20)
('Hayley Ramirez', 'ARTIFICER', 'HALF_ORC', 4516, 7)
('Victoria Dillon', 'DRUID', 'HALFLING', 9709, 7)
('David Mcguire', 'PALADIN', 'HALFLING', 12063, 7)
('Jeremy Gill', 'BARBARIAN', 'GNOME', 16142, 2)
('Hector Barker', 'WIZARD', 'HALF_ELF', 12849, 2)
('Matthew Miller', 'DRUID', 'HALFLING', 898, 8)
('Tammy Downs', 'CLERIC', 'GNOME', 3007, 5)
('Christine Miller', 'RANGER', 'DRAGONBORN', 4399, 18)
('Leslie Scott', 'PALADIN', 'GNOME', 9044, 3)
('Laura Perez', 'WARLOCK', 'DWARF', 1983, 10)
('Frank Aguilar', 'BARBARIAN', 'DWARF', 359, 7)
('Tyler Blanchard', 'SORCERER', 'HALFLING', 3932, 7)
('Justin Clark', 'WIZARD', 'HALFLING', 6400, 6)
('Danielle Rodriguez', 'BARD', 'HALFLING', 1520, 18)
('Alan Jones', 'WARLOCK', 'HUMAN', 3117, 10)
('Jeffery Garrett', 'WIZARD', 'ELF', 2137, 14)
('Patricia Jimenez', 'DRUID', 'ELF', 7052, 7)
('Brittany Mckinney', 'FIGHTER', 'HALF_ELF', 10035, 15)
('Richard Parker', 'SORCERER', 'ELF', 12657, 7)
('Christina Baker', 'RANGER', 'ELF', 1253, 12)
('Johnny Giles', 'CLERIC', 'HALFLING', 3442, 10)
('Mary Gilbert', 'RANGER', 'HALF_ELF', 16969, 19)
('Amanda Lewis', 'BARD', 'GNOME', 19866, 9)
('Judy Jones', 'DRUID', 'ELF', 10585, 11)
('Paul Barry', 'SORCERER', 'GNOME', 11154, 17)
('David Hancock', 'MONK', 'DWARF', 2432, 17)
('Jeffrey Carson', 'FIGHTER', 'TIEFLING', 2802, 12)
('Jonathan Tran', 'ARTIFICER', 'ELF', 1063, 13)
('Dr. James Leon', 'MONK', 'HALF_ELF', 1300, 3)
('Heidi Saunders', 'ARTIFICER', 'ELF', 12002, 3)
('John Knapp', 'ROGUE', 'HUMAN', 15065, 1)
('Melinda Woods', 'BARBARIAN', 'HALF_ELF', 4985, 7)
('Mrs. Lisa Holloway', 'BARD', 'DRAGONBORN', 12689, 6)
('Julie Santiago', 'SORCERER', 'HALF_ELF', 6487, 9)
('Bryan Harvey', 'CLERIC', 'HALF_ELF', 13540, 17)
('Danielle Hardy', 'BARBARIAN', 'DRAGONBORN', 6686, 1)
('Jeffrey Allen', 'PALADIN', 'DWARF', 6615, 13)
('Jeffrey Willis', 'CLERIC', 'HALF_ELF', 10855, 7)
('Nicholas Hobbs', 'MONK', 'HALF_ELF', 5492, 10)
('Jeffrey Robinson', 'BARD', 'HALF_ORC', 18175, 3)
('Michael Austin', 'CLERIC', 'HALF_ORC', 4392, 5)
('Heather Graves', 'ROGUE', 'HALF_ELF', 686, 16)
('Gabrielle Stanton', 'WARLOCK', 'TIEFLING', 11700, 5)
('Christina Gonzalez', 'WARLOCK', 'HUMAN', 2918, 10)
('Rachel Barr', 'BARD', 'HUMAN', 838, 18)
('Angelica Byrd', 'ROGUE', 'DWARF', 4587, 2)
('Kyle Green', 'WARLOCK', 'HUMAN', 15466, 4)
('Victoria Soto', 'FIGHTER', 'DWARF', 19359, 3)
('Natalie Mullins', 'ARTIFICER', 'HALF_ORC', 10065, 9)
('Michael Diaz', 'ROGUE', 'HALFLING', 9670, 6)
('Paul Harris', 'BARBARIAN', 'DRAGONBORN', 18376, 6)
('Anthony Espinoza', 'MONK', 'TIEFLING', 14472, 20)
('Todd Brady', 'FIGHTER', 'HALF_ORC', 10465, 5)
('Anthony Shields', 'SORCERER', 'HALF_ORC', 11883, 3)
('Timothy Parker', 'RANGER', 'HALF_ELF', 3186, 9)
('Deanna Moses', 'MONK', 'HALFLING', 2188, 9)
('Melissa Horn', 'MONK', 'ELF', 11133, 8)
('Edward Wright', 'PALADIN', 'HUMAN', 13171, 4)
('Laura Holmes', 'FIGHTER', 'HALFLING', 14422, 12)
('Nancy Brown', 'BARD', 'HALF_ORC', 13080, 14)
('Eric Santiago', 'ROGUE', 'DWARF', 11391, 9)
('Joe Acosta', 'MONK', 'ELF', 19278, 6)
('Pamela Young', 'CLERIC', 'DRAGONBORN', 6210, 5)
('Tara King', 'ARTIFICER', 'HUMAN', 9770, 7)
('Gregory Foster', 'RANGER', 'ELF', 2647, 8)
('Mr. Richard Rodriguez', 'ARTIFICER', 'HUMAN', 393, 3)
('Kenneth Lawrence', 'ARTIFICER', 'DWARF', 5024, 14)
('George Rodriguez', 'SORCERER', 'DRAGONBORN', 2126, 2)
('Daniel Chase', 'SORCERER', 'HUMAN', 18199, 14)
('Cody Munoz', 'ARTIFICER', 'HALF_ELF', 14328, 2)
('Monica Mann', 'FIGHTER', 'GNOME', 16036, 4)
('Thomas Warner', 'BARBARIAN', 'HUMAN', 193, 12)
('Cynthia Rosario', 'WARLOCK', 'GNOME', 10070, 8)
('Karla Conrad', 'ARTIFICER', 'HALFLING', 15944, 18)
('Jason Brown MD', 'WIZARD', 'HALF_ORC', 12744, 4)
('Charles Greene', 'MONK', 'DRAGONBORN', 10426, 4)
('Austin Dennis', 'SORCERER', 'HALF_ORC', 12313, 3)
('Matthew Lyons', 'BARBARIAN', 'HUMAN', 10395, 7)
('Emily Keith', 'BARD', 'HALF_ELF', 8581, 11)
('Alexis Paul', 'FIGHTER', 'HALF_ORC', 11556, 18)
('Monica Fitzgerald', 'PALADIN', 'HALF_ORC', 13606, 5)
('Michael Henson', 'ARTIFICER', 'HUMAN', 3646, 5)
('Caleb Schmitt', 'ARTIFICER', 'HALF_ELF', 13343, 6)
('Sandra Murray', 'RANGER', 'GNOME', 7397, 20)
('Katrina Jackson', 'FIGHTER', 'DWARF', 5245, 16)
('Samuel Hurley', 'WARLOCK', 'HALF_ELF', 13193, 9)
('Philip Hinton', 'WARLOCK', 'HUMAN', 3316, 2)
('Michael Schroeder', 'SORCERER', 'HUMAN', 885, 4)
('Johnny Gonzales', 'BARD', 'HUMAN', 13125, 4)
('Jack Price', 'MONK', 'ELF', 14649, 11)
('Vanessa Powell', 'CLERIC', 'HALF_ELF', 14411, 18)
('Paul Erickson', 'FIGHTER', 'TIEFLING', 10121, 12)
('Jacqueline Mitchell', 'ROGUE', 'GNOME', 5231, 20)
('Matthew Potter MD', 'DRUID', 'HALFLING', 3907, 1)
('Fred Rowe', 'WARLOCK', 'HALFLING', 10313, 3)
('Randy Myers', 'MONK', 'ELF', 5746, 4)
('Sheila Thompson', 'DRUID', 'TIEFLING', 12958, 4)
('Kelly Powell', 'WIZARD', 'DRAGONBORN', 18564, 5)
('Mark Armstrong', 'RANGER', 'TIEFLING', 14901, 4)
('Teresa House', 'CLERIC', 'ELF', 9911, 9)
('Kyle Delgado', 'ROGUE', 'HALFLING', 15509, 15)
('Dawn Moore', 'MONK', 'HUMAN', 864, 7)
('Tina Wilson', 'FIGHTER', 'HUMAN', 16831, 6)
('Joshua Erickson', 'CLERIC', 'HALFLING', 12995, 19)
('Michael Hunt', 'BARBARIAN', 'DWARF', 11451, 1)
('Catherine Conway', 'DRUID', 'ELF', 3114, 2)
('Lauren Warren', 'ARTIFICER', 'TIEFLING', 11379, 20)
('Karen Freeman', 'RANGER', 'GNOME', 3606, 7)
('Jeffrey Walker', 'PALADIN', 'HALFLING', 11570, 12)
('Shannon Martinez', 'WARLOCK', 'TIEFLING', 3362, 11)
('Michael Stevens', 'MONK', 'TIEFLING', 19675, 10)
('Daniel Li', 'PALADIN', 'HALF_ELF', 19653, 14)
('Todd Mcdonald DVM', 'ROGUE', 'DRAGONBORN', 15181, 3)
('Cynthia Wilson', 'ARTIFICER', 'DRAGONBORN', 10180, 12)
('Emily Espinoza', 'DRUID', 'HALF_ELF', 687, 18)
('Ashley Higgins', 'SORCERER', 'DWARF', 12893, 20)
('Troy Campos', 'ROGUE', 'TIEFLING', 10884, 11)
